"Código do Município";"Município";"Estado";"Ano de Referência";"Código do Prestador";"Prestador";"Sigla do Prestador";"Natureza Jurídica";"FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006)";"IN005 - Auto-suficiência financeira da prefeitura com o manejo de rsu"
260010;Afogados da Ingazeira;PE;2017;26001040;SECRETARIA DE INFRAESTRUTURA E SERVIÇOS  PÚBLICOS;PMAI;Administração pública direta;;;
260010;Afogados da Ingazeira;PE;2016;26001040;SECRETARIA DE INFRAESTRUTURA E SERVIÇOS  PÚBLICOS;PMAI;Administração pública direta;;;
260010;Afogados da Ingazeira;PE;2015;26001040;SECRETARIA DE INFRAESTRUTURA E SERVIÇOS  PÚBLICOS;PMAI;Administração pública direta;;;
260010;Afogados da Ingazeira;PE;2013;26001040;SECRETARIA DE INFRAESTRUTURA E SERVIÇOS  PÚBLICOS;PMAI;Administração pública direta;;;
260010;Afogados da Ingazeira;PE;2009;26001040;SECRETARIA DE INFRAESTRUTURA E SERVIÇOS  PÚBLICOS;PMAI;Administração pública direta;0,00;0,00;
260030;Agrestina;PE;2011;26003040;PREFEITURA MUNICIPAL DE AGRESTINA;PMA;Administração pública direta;32.636,05;4,06;
260030;Agrestina;PE;2010;26003040;PREFEITURA MUNICIPAL DE AGRESTINA;PMA;Administração pública direta;32.636,05;5,95;
260030;Agrestina;PE;2009;26003040;PREFEITURA MUNICIPAL DE AGRESTINA;PMA;Administração pública direta;;;
260050;Águas Belas;PE;2017;26005040;SECRETARIA DE INFRAESTRUTURA;SISP;Administração pública direta;75.000,00;7,91;
260050;Águas Belas;PE;2016;26005040;SECRETARIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;65.000,00;8,27;
260050;Águas Belas;PE;2015;26005040;SECRETARIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;60.000,00;5,55;
260050;Águas Belas;PE;2014;26005040;SECRETARIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;54.000,00;6,70;
260050;Águas Belas;PE;2013;26005040;SECRETARIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;;;
260050;Águas Belas;PE;2012;26005040;SECRETARIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;22.350,69;2,31;
260060;Alagoinha;PE;2017;26006040;Prefeitura Municipal de Alagoinha;PMA;Administração pública direta;0,00;0;
260060;Alagoinha;PE;2016;26006040;Prefeitura Municipal de Alagoinha;PMA;Administração pública direta;;;
260060;Alagoinha;PE;2015;26006040;Prefeitura Municipal de Alagoinha;PMA;Administração pública direta;;;
260060;Alagoinha;PE;2009;26006040;Prefeitura Municipal de Alagoinha;PMA;Administração pública direta;27.000,00;;
260080;Altinho;PE;2017;26008040;Prefeitura do Altinho;PMA;Administração pública direta;;;
260080;Altinho;PE;2016;26008040;Prefeitura do Altinho;PMA;Administração pública direta;;;
260080;Altinho;PE;2010;26008040;Prefeitura Municipal de Altinho;PMA;Administração pública direta;46.098,00;;
260100;Angelim;PE;2015;26010040;Prefeitura Municipal de Angelim;PMA;Administração pública direta;;;
260100;Angelim;PE;2014;26010040;Prefeitura Municipal de Angelim;PMA;Administração pública direta;;;
260100;Angelim;PE;2013;26010040;Prefeitura Municipal de Angelim;PMA;Administração pública direta;0,00;0;
260105;Araçoiaba;PE;2010;26010540;Secretaria de Infra-estrutura;SIE;Administração pública direta;;;
260105;Araçoiaba;PE;2009;26010540;Secretaria de Infra-estrutura;SIE;Administração pública direta;;;
260110;Araripina;PE;2017;26011040;Prefeitura Municipal de Araripina;PMA;Administração pública direta;55.761,48;1,52;
260110;Araripina;PE;2016;26011040;Prefeitura Municipal de Araripina;PMA;Administração pública direta;25.453,93;0,67;
260110;Araripina;PE;2015;26011040;Prefeitura Municipal de Araripina;PMA;Administração pública direta;0,00;0;
260110;Araripina;PE;2014;26011040;Prefeitura Municipal de Araripina;PMA;Administração pública direta;;;
260110;Araripina;PE;2013;26011040;Prefeitura Municipal de Araripina;PMA;Administração pública direta;0,00;0;
260120;Arcoverde;PE;2016;26012040;Prefeitura Municipal;PM;Administração pública direta;0,00;0;
260150;Belém de Maria;PE;2015;26015040;Prefeitura Municipal de Belém de Maria;PMBM;Administração pública direta;;;
260170;Belo Jardim;PE;2016;26017040;Prefeitura Municipal de Belo Jardim;PMBJ;Administração pública direta;;;
260170;Belo Jardim;PE;2015;26017040;Prefeitura Municipal de Belo Jardim;PMBJ;Administração pública direta;;;
260170;Belo Jardim;PE;2010;26017040;Prefeitura Municipal de Belo Jardim;PMBJ;Administração pública direta;0,00;0,00;
260170;Belo Jardim;PE;2009;26017040;Prefeitura Municipal de Belo Jardim;PMBJ;Administração pública direta;0,00;0,00;
260180;Betânia;PE;2014;26018040;PREFEITURA MUNICIPAL DE BETANIA;PE;Administração pública direta;;;
260180;Betânia;PE;2012;26018040;PREFEITURA MUNICIPAL DE BETANIA;PE;Administração pública direta;48.620,00;42,14;
260180;Betânia;PE;2011;26018040;PREFEITURA MUNICIPAL DE BETANIA;PE;Administração pública direta;;;
260180;Betânia;PE;2010;26018040;PREFEITURA MUNICIPAL DE BETANIA;PE;Administração pública direta;10.590,00;6,33;
260180;Betânia;PE;2009;26018040;PREFEITURA MUNICIPAL DE BETANIA;PE;Administração pública direta;8.245,92;2,54;
260190;Bezerros;PE;2017;26019040;Prefeitura Municipal dos Bezerros;PMB;Administração pública direta;;;
260190;Bezerros;PE;2016;26019040;Prefeitura Municipal dos Bezerros;PMB;Administração pública direta;;;
260190;Bezerros;PE;2014;26019040;Prefeitura Municipal dos Bezerros;PMB;Administração pública direta;374.006,46;;
260190;Bezerros;PE;2009;26019040;Prefeitura Municipal dos Bezerros;PMB;Administração pública direta;472.062,26;;
260200;Bodocó;PE;2017;26020040;Prefeitura Municipal de Bodocó;PMB;Administração pública direta;;;
260200;Bodocó;PE;2016;26020040;Prefeitura Municipal de Bodocó;PMB;Administração pública direta;;;
260200;Bodocó;PE;2015;26020040;Prefeitura Municipal de Bodocó;PMB;Administração pública direta;;;
260200;Bodocó;PE;2014;26020040;Prefeitura Municipal de Bodocó;PMB;Administração pública direta;;;
260200;Bodocó;PE;2013;26020040;Prefeitura Municipal de Bodocó;PMB;Administração pública direta;;;
260220;Bom Jardim;PE;2017;26022040;PREFEITURA MUNICIPAL DO BOM JARDIM;PMBJ;Administração pública direta;;;
260220;Bom Jardim;PE;2016;26022040;PREFEITURA MUNICIPAL DO BOM JARDIM;PMBJ;Administração pública direta;;;
260220;Bom Jardim;PE;2014;26022040;PREFEITURA MUNICIPAL DO BOM JARDIM;PMBJ;Administração pública direta;;;
260220;Bom Jardim;PE;2013;26022040;PREFEITURA MUNICIPAL DO BOM JARDIM;PMBJ;Administração pública direta;;;
260220;Bom Jardim;PE;2012;26022040;PREFEITURA MUNICIPAL DO BOM JARDIM;PMBJ;Administração pública direta;;;
260230;Bonito;PE;2017;26023040;Prefeitura Municipal de Bonito;PMB;Administração pública direta;;;
260230;Bonito;PE;2016;26023040;Prefeitura Municipal de Bonito;PMB;Administração pública direta;;;
260240;Brejão;PE;2016;26024040;Prefeitura Municipal de Brejão;PMB;Administração pública direta;;;
260250;Brejinho;PE;2017;26025040;PREFEITURA MUNICIPAL DE BREJINHO;PMB;Administração pública direta;;;
260250;Brejinho;PE;2016;26025040;PREFEITURA MUNICIPAL DE BREJINHO;PMB;Administração pública direta;;;
260250;Brejinho;PE;2015;26025040;PREFEITURA MUNICIPAL DE BREJINHO;PMB;Administração pública direta;60.000,00;10,70;
260250;Brejinho;PE;2014;26025040;PREFEITURA MUNICIPAL DE BREJINHO;PMB;Administração pública direta;13.500,00;3;
260250;Brejinho;PE;2013;26025040;PREFEITURA MUNICIPAL DE BREJINHO;PMB;Administração pública direta;5.000,00;1,27;
260250;Brejinho;PE;2012;26025040;PREFEITURA MUNICIPAL DE BREJINHO;PMB;Administração pública direta;;;
260250;Brejinho;PE;2011;26025040;PREFEITURA MUNICIPAL DE BREJINHO;PMB;Administração pública direta;;;
260260;Brejo da Madre de Deus;PE;2017;26026040;Secretaria Municipal de Obras e Urbanismo;SOU;Administração pública direta;;;
260260;Brejo da Madre de Deus;PE;2016;26026040;Secretaria Municipal de Obras e Urbanismo;SOU;Administração pública direta;;;
260260;Brejo da Madre de Deus;PE;2011;26026040;Secretaria Municipal de Obras e Urbanismo;SOU;Administração pública direta;;;
260270;Buenos Aires;PE;2017;26027040;PREFEITURA MUNICIPAL DE BUENOS AIRES;PMBA;Administração pública direta;;;
260270;Buenos Aires;PE;2016;26027040;PREFEITURA MUNICIPAL DE BUENOS AIRES;PMBA;Administração pública direta;;;
260270;Buenos Aires;PE;2015;26027040;PREFEITURA MUNICIPAL DE BUENOS AIRES;PMBA;Administração pública direta;;;
260270;Buenos Aires;PE;2014;26027040;PREFEITURA MUNICIPAL DE BUENOS AIRES;PMBA;Administração pública direta;;;
260270;Buenos Aires;PE;2013;26027040;PREFEITURA MUNICIPAL DE BUENOS AIRES;PMBA;Administração pública direta;;;
260270;Buenos Aires;PE;2012;26027040;PREFEITURA MUNICIPAL DE BUENOS AIRES;PMBA;Administração pública direta;;;
260280;Buíque;PE;2017;26028040;Prefeitura Municipal de Buíque;PMB;Administração pública direta;;;
260280;Buíque;PE;2016;26028040;Prefeitura Municipal de Buíque;PMB;Administração pública direta;;;
260290;Cabo de Santo Agostinho;PE;2015;26029040;Prefeitura Municipal do Cabo de Santo Agostinho;PMCSA;Administração pública direta;4.885.233,28;21,51;
260290;Cabo de Santo Agostinho;PE;2014;26029040;Prefeitura Municipal do Cabo de Santo Agostinho;PMCSA;Administração pública direta;3.916.863,71;10,56;
260290;Cabo de Santo Agostinho;PE;2013;26029040;Prefeitura Municipal do Cabo de Santo Agostinho;PMCSA;Administração pública direta;3.730.638,00;12,12;
260290;Cabo de Santo Agostinho;PE;2012;26029040;Prefeitura Municipal do Cabo de Santo Agostinho;PMCSA;Administração pública direta;174.585,30;0,66;
260290;Cabo de Santo Agostinho;PE;2011;26029040;Prefeitura Municipal do Cabo de Santo Agostinho;PMCSA;Administração pública direta;0,00;0;
260290;Cabo de Santo Agostinho;PE;2010;26029040;Prefeitura Municipal do Cabo de Santo Agostinho;PMCSA;Administração pública direta;1.792.199,13;13,64;
260290;Cabo de Santo Agostinho;PE;2009;26029040;Prefeitura Municipal do Cabo de Santo Agostinho;PMCSA;Administração pública direta;1.459.942,75;;
260290;Cabo de Santo Agostinho;PE;2007;26029040;Prefeitura Municipal do Cabo de Santo Agostinho;PMCSA;Administração pública direta;986.662,14;11,56;
260300;Cabrobó;PE;2016;26030040;Secretaria de Infraestrutua Urbana;SEINFRA;Administração pública direta;;;
260300;Cabrobó;PE;2015;26030040;Secretaria de Infraestrutua Urbana;SEINFRA;Administração pública direta;;;
260300;Cabrobó;PE;2014;26030040;Secretaria de Infraestrutua Urbana;SEINFRA;Administração pública direta;;;
260300;Cabrobó;PE;2013;26030040;Secretaria de Infraestrutua Urbana;SEINFRA;Administração pública direta;;;
260300;Cabrobó;PE;2010;26030040;Secretaria de Infraestrutua Urbana;SEINFRA;Administração pública direta;0,00;0,00;
260310;Cachoeirinha;PE;2014;26031040;Prefeitura Municipal de Cachoeirinha;PMC;Administração pública direta;45.000,00;4,38;
260320;Caetés;PE;2015;26032040;Prefeitura Municipal de Caetés;PMC;Empresa pública;508,50;0,05;
260320;Caetés;PE;2014;26032040;Prefeitura Municipal de Caetés;PMC;Administração pública direta;;;
260330;Calçado;PE;2016;26033040;Prefeitura Municipal de Calçado;PMC;Administração pública direta;;;
260330;Calçado;PE;2015;26033040;Prefeitura Municipal de Calçado;PMC;Administração pública direta;;;
260345;Camaragibe;PE;2017;26034540;Secretaria de Serviços Públicos e Infraestrutura;SEINFRA;Administração pública direta;1.886.439,59;19,85;
260345;Camaragibe;PE;2015;26034540;Secretaria de Serviços Públicos;SESP;Administração pública direta;1.011.481,61;10,38;
260345;Camaragibe;PE;2014;26034540;Diretoria de Limpeza Urbana;DILURB;Administração pública direta;839.507,47;8,77;
260345;Camaragibe;PE;2012;26034540;Diretoria de Limpeza Urbana;DILURB;Administração pública direta;653.929,14;11,92;
260345;Camaragibe;PE;2008;26034540;Secretaria de Limpeza e Manutenção Urbana;SELURB;Administração pública direta;390.769,53;19,73;
260345;Camaragibe;PE;2007;26034540;Secretaria de Limpeza e Manutenção Urbana;SELURB;Administração pública direta;302.951,62;10,45;
260350;Camocim de São Félix;PE;2016;26035040;Prefeitura Municipal de Camocim;PMCSF;Administração pública direta;;;
260350;Camocim de São Félix;PE;2015;26035040;Prefeitura Municipal de Camocim;PMCSF;Administração pública direta;;;
260350;Camocim de São Félix;PE;2014;26035040;UILSON DE MOURA FRANÇA;Prefeito;Administração pública direta;;;
260350;Camocim de São Félix;PE;2013;26035040;Prefeitura Municipal de Camocim;PMCSF;Administração pública direta;;;
260350;Camocim de São Félix;PE;2011;26035040;UILSON DE MOURA FRANÇA;Prefeito;Administração pública direta;;;
260350;Camocim de São Félix;PE;2010;26035040;UILSON DE MOURA FRANÇA;Prefeito;Administração pública direta;11.440,00;2,95;
260350;Camocim de São Félix;PE;2009;26035040;UILSON DE MOURA FRANÇA;Prefeito;Administração pública direta;0,00;0,00;
260360;Camutanga;PE;2016;26036040;Secretaria de Serviços Público;SSP;Administração pública direta;;;
260360;Camutanga;PE;2013;26036040;Secretaria de Serviços Público;SSP;Administração pública direta;;;
260360;Camutanga;PE;2012;26036040;Secretaria de Obras Urbanismo e Meio Ambiente;SECOMA;Administração pública direta;;;
260360;Camutanga;PE;2010;26036040;Secretaria de Obras Urbanismo e Meio Ambiente;SECOMA;Empresa pública;2.386,45;;
260370;Canhotinho;PE;2017;26037040;Prefeitura Municipal de Canhotinho;PMC;Administração pública direta;;;
260370;Canhotinho;PE;2016;26037040;Prefeitura Municipal de Canhotinho;PMC;Administração pública direta;;;
260370;Canhotinho;PE;2015;26037040;Prefeitura Municipal de Canhotinho;PMC;Administração pública direta;;;
260370;Canhotinho;PE;2014;26037040;Prefeitura Municipal de Canhotinho;PMC;Administração pública direta;;;
260370;Canhotinho;PE;2013;26037040;Prefeitura Municipal de Canhotinho;PMC;Administração pública direta;;;
260370;Canhotinho;PE;2009;26037040;Prefeitura Municipal de Canhotinho;PMC;Administração pública direta;;;
260380;Capoeiras;PE;2017;26038040;Prefeitura Municipal de Capoeiras;PMC;Administração pública direta;;;
260380;Capoeiras;PE;2016;26038040;Prefeitura Municipal de Capoeiras;PMC;Administração pública direta;942,96;;
260390;Carnaíba;PE;2017;26039040;PREFEITURA MUNICIPAL DE CARNAÍBA;PMC;Administração pública direta;0,00;0;
260390;Carnaíba;PE;2016;26039040;PREFEITURA MUNICIPAL DE CARNAÍBA;PMC;Administração pública direta;;;
260390;Carnaíba;PE;2014;26039040;PREFEITURA MUNICIPAL DE CARNAÍBA;PE;Administração pública direta;;;
260390;Carnaíba;PE;2012;26039040;PREFEITURA MUNICIPAL DE CARNAÍBA;PE;Administração pública direta;28.830,00;;
260390;Carnaíba;PE;2010;26039040;PREFEITURA MUNICIPAL DE CARNAÍBA;PE;Administração pública direta;0,00;;
260390;Carnaíba;PE;2009;26039040;PREFEITURA MUNICIPAL DE CARNAÍBA;PE;Administração pública direta;0,00;0,00;
260392;Carnaubeira da Penha;PE;2015;26039240;Prefeitura Municipal;PM;Administração pública direta;;;
260392;Carnaubeira da Penha;PE;2013;26039240;Prefeitura Municipal;PM;Administração pública direta;;;
260400;Carpina;PE;2017;26040040;Prefeitura Municipal de Carpina;PMC;Administração pública direta;170.228,40;2,35;
260410;Caruaru;PE;2017;26041040;Prefeitura Municipal Caruaru;PMC;Administração pública direta;2.521.385,93;8,17;
260410;Caruaru;PE;2015;26041040;Prefeitura Municipal Caruaru;PMC;Administração pública direta;240.000,00;1,61;
260410;Caruaru;PE;2014;26041040;Prefeitura Municipal;PM;Administração pública direta;180.000,00;;
260410;Caruaru;PE;2013;26041040;Prefeitura Municipal Caruaru;PMC;Administração pública direta;;;
260410;Caruaru;PE;2008;26041040;Prefeitura Municipal;PM;Administração pública direta;;;
260410;Caruaru;PE;2007;26041040;Prefeitura Municipal;PM;Administração pública direta;369.265,29;2,29;
260410;Caruaru;PE;2003;26041040;Prefeitura Municipal;PM;Administração pública direta;414.015,93;3,64;
260415;Casinhas;PE;2015;26041540;Prefeitura Muncipal de Casinhas;PMC;Administração pública direta;;;
260415;Casinhas;PE;2014;26041540;Prefeitura Muncipal de Casinhas;PMC;Administração pública direta;;;
260415;Casinhas;PE;2013;26041540;Prefeitura Muncipal de Casinhas;PMC;Administração pública direta;;;
260415;Casinhas;PE;2012;26041540;Prefeitura Muncipal de Casinhas;PMC;Administração pública direta;;;
260420;Catende;PE;2014;26042040;Prefeitura Municipal de Catende;PMC;Administração pública direta;;;
260430;Cedro;PE;2017;26043040;Prefeitura Municipal de Cedro;PMC;Administração pública direta;;;
