Posição,Município,Consorciado (sim = 1 ou não = 0),Qde de consorcios ambientais vinculados,PIB,IDH1991,IDH2000,IDH2010,Ano de ingresso consórcio,Consorcio1,Consorcio2,Consorcio3
15,Barra de Guabiraba,1,2,79.737,"0,306","0,371","0,577",2012,COMAGSUL,,
16,Barreiros,1,2,392.584,"0,404","0,471","0,586",2010,PORTAL SUL,,
46,Casinhas,1,2,74.636,"0,292","0,417","0,567",2007,COMANAS,CONIAPE,
51,Condado,1,2,181.699,"0,374","0,476","0,602",2007,COMANAS,,
89,Jaqueira,1,2,77.683,"0,255","0,394","0,575",2013,COMAGSUL,COMSUL,
107,Maraial,1,2,67.940,"0,247","0,347","0,534",2010,COMAGSUL,COMSUL,
149,São Benedito do Sul,1,2,76.591,"0,228","0,356","0,530",2013,COMAGSUL,,
153,São Joaquim do Monte,1,2,132.182,"0,293","0,365","0,537",2010,COMAGSUL,CONIAPE,
181,Vertente do Lério,1,2,56.594,"0,273","0,382","0,563",2007,COMANAS,,
17,Belém de Maria,1,1,63.269,"0,288","0,404","0,578",2005,COMAGSUL,,
2,Afogados da Ingazeira,1,1,364.636,"0,383","0,518","0,657",2005,CIMPAJEU,COMUPE,
3,Afrânio,1,1,133.466,"0,263","0,386","0,588",2008,CISAPE,,
4,Agrestina,1,1,195.479,"0,305","0,436","0,592",2005,COMAGSUL,,
5,Água Preta,1,1,220.656,"0,287","0,388","0,553",2009,COMSUL,,
8,Aliança,1,1,264.819,"0,287","0,431","0,604",2007,COMANAS,,
9,Altinho,1,1,134.777,"0,31","0,444","0,598",2005,COMAGSUL,CONIAPE,
13,Araripina,1,1,1.322.203,"0,307","0,441","0,602",2008,CISAPE,,
18,Belém do São Francisco,1,1,158.286,"0,387","0,482","0,642",2013,COMSIM,,
20,Betânia,1,1,70.822,"0,276","0,409","0,559",2005,CIMPAJEU,,
21,Bezerros,1,1,610.372,"0,338","0,458","0,606",,CONIAPE,COMUPE,
22,Bodocó,1,1,230.091,"0,281","0,391","0,565",2008,CISAPE,,
24,Bom Jardim,1,1,248.671,"0,333","0,442","0,602",2007,COMANAS,,
25,Bonito,1,1,317.884,"0,309","0,414","0,561",2011,COMAGSUL,,
28,Brejo da Madre de Deus,1,1,298.578,"0,298","0,404","0,562",,CONDOMAR,CONIAPE,
29,Buenos Aires,1,1,77.939,"0,311","0,447","0,593",2007,COMANAS,COMUPE,
33,Cachoeirinha,1,1,155.524,"0,363","0,481","0,579",2010,COMAGSUL,,
36,Calumbi,1,1,36.981,"0,321","0,41","0,571",2006,CIMPAJEU,,
38,Camocim de São Félix,1,1,131.189,"0,321","0,445","0,588",2013,COMAGSUL,,
39,Camutanga,1,1,222.487,"0,373","0,466","0,606",2007,COMANAS,,
42,Carnaíba,1,1,135.672,"0,291","0,432","0,583",2005,,,
43,Carnaubeira da Penha,1,1,66.518,"0,227","0,331","0,573",2013,COMSIM,,
44,Carpina,1,1,1.181.810,"0,448","0,562","0,680",2007,COMANAS,,
47,Catende,1,1,253.362,"0,369","0,467","0,609",2005,COMAGSUL,COMSUL,
48,Cedro,1,1,72.077,"0,311","0,459","0,615",2009,CINDESC,,
49,Chã de Alegria,1,1,82.675,"0,312","0,447","0,604",2007,COMANAS,COMUPE,
53,Cortês,1,1,107.719,"0,281","0,402","0,568",2009,COMSUL,,
55,Cupira,1,1,213.677,"0,344","0,442","0,592",2005,COMAGSUL,CONIAPE,
56,Custódia,1,1,338.421,"0,329","0,459","0,594",,CIMPAJEU,,
57,Dormentes,1,1,164.596,"0,243","0,403","0,589",2008,CISAPE,,
58,Escada,1,1,711.673,"0,346","0,479","0,632",,COMSUL,,
59,Exu,1,1,210.126,"0,291","0,412","0,576",2008,CISAPE,,
60,Feira Nova,1,1,138.581,"0,305","0,437","0,600",2007,COMANAS,,
62,Ferreiros,1,1,91.045,"0,355","0,45","0,622",2007,COMANAS,,
63,Flores,1,1,124.764,"0,286","0,42","0,556",2005,CIMPAJEU,,
64,Floresta,1,1,359.155,"0,417","0,517","0,626",2013,COMSIM,,
65,Frei Miguelinho,1,1,84.320,"0,314","0,414","0,576",2007,COMANAS,CONIAPE,
66,Gameleira,1,1,190.272,"0,326","0,424","0,602",,COMSUL,,
68,Glória do Goitá,1,1,368.140,"0,334","0,437","0,604",2007,COMANAS,,
69,Goiana,1,1,3.867.853,"0,405","0,511","0,651",2007,COMANAS,,
70,Granito,1,1,47.792,"0,259","0,408","0,595",2008,CISAPE,,
73,Ibimirim,1,1,225.996,"0,284","0,394","0,552",2009,,,
74,Ibirajuba,1,1,51.813,"0,3","0,428","0,580",2005,COMAGSUL,,
76,Iguaracy,1,1,71.593,"0,324","0,443","0,598",2005,CIMPAJEU,,
79,Ingazeira,1,1,34.221,"0,349","0,488","0,608",,CIMPAJEU,,
81,Ipubi,1,1,237.384,"0,285","0,417","0,550",2008,CISAPE,,
82,Itacuruba,1,1,53.928,"0,392","0,51","0,595",2013,COMSIM,,
84,Itambé,1,1,377.106,"0,298","0,408","0,575",2007,COMANAS,,
87,Itaquitinga,1,1,141.569,"0,338","0,429","0,586",2007,COMANAS,,
90,Jataúba,1,1,102.360,"0,285","0,389","0,530",,CONDOMAR,CONIAPE,
91,Jatobá,1,1,103.377,"0,408","0,529","0,645",2013,COMSIM,,
92,João Alfredo,1,1,215.310,"0,321","0,427","0,576",2007,COMANAS,CONIAPE,COMUPE
93,Joaquim Nabuco,1,1,95.120,"0,306","0,408","0,554",2010,COMSUL,,
96,Jurema,1,1,86.270,"0,227","0,353","0,509",2010,COMAGSUL,,
97,Lagoa de Itaenga,1,1,263.465,"0,317","0,413","0,602",2007,COMANAS,,
98,Lagoa do Carro,1,1,151.023,"0,308","0,493","0,609",2007,COMANAS,,
100,Lagoa dos Gatos,1,1,88.185,"0,263","0,391","0,551",2005,COMAGSUL,,
102,Lajedo,1,1,365.026,"0,355","0,474","0,611",2009,COMAGSUL,CODEAM,
103,Limoeiro,1,1,606.582,"0,416","0,539","0,663",2007,COMANAS,CONIAPE,
105,Machados,1,1,115.315,"0,302","0,418","0,578",2007,COMANAS,,
108,Mirandiba,1,1,118.714,"0,362","0,445","0,591",2009,CINDESC,,
109,Moreilândia,1,1,57.545,"0,296","0,44","0,600",2008,CISAPE,,
111,Nazaré da Mata,1,1,417.810,"0,445","0,522","0,662",2007,COMANAS,,
113,Orobó,1,1,225.019,"0,351","0,441","0,610",2007,COMANAS,,
115,Ouricuri,1,1,501.298,"0,303","0,421","0,572",,CISAPE,,
116,Palmares,1,1,783.570,"0,382","0,473","0,622",,COMSUL,,
118,Panelas,1,1,152.974,"0,257","0,402","0,569",2013,COMAGSUL,CONIAPE,
120,Parnamirim,1,1,157.955,"0,331","0,429","0,599",2008,CISAPE,,
121,Passira,1,1,189.465,"0,306","0,439","0,592",2007,COMANAS,,
122,Paudalho,1,1,673.527,"0,357","0,471","0,639",2007,COMANAS,,
126,Petrolândia,1,1,853.634,"0,401","0,527","0,623",2013,,,
130,Primavera,1,1,131.693,"0,304","0,432","0,580",,COMSUL,,
131,Quipapá,1,1,166.485,"0,288","0,361","0,552",2009,COMAGSUL,COMSUL,CODEAM
132,Quixaba,1,1,42.973,"0,256","0,394","0,577",,CIMPAJEU,,
134,Riacho das Almas,1,1,160.184,"0,285","0,426","0,570",2013,COMAGSUL,CONIAPE,
135,Ribeirão,1,1,366.821,"0,357","0,456","0,602",2009,COMSUL,,
136,Rio Formoso,1,1,245.494,"0,309","0,42","0,613",2013,PORTAL SUL,,
138,Salgadinho,1,1,49.470,"0,272","0,402","0,534",2007,COMANAS,,
139,Salgueiro,1,1,744.427,"0,404","0,531","0,669",2009,CINDESC,,
142,Santa Cruz,1,1,88.523,"0,182","0,341","0,549",2008,CISAPE,,
