Município,Ano,
Abreu e Lima (PE),2002,275815
,2003,324188
,2004,412996
,2005,469328
,2006,515777
,2007,562283
,2008,664344
,2009,740917
,2010,853291
,2011,946179
,2012,1113557
,2013,1220149
,2014,1344884
,2015,1333651
,2016,1416084
,2017,2003665
Afogados da Ingazeira (PE),2002,90195
,2003,98847
,2004,98120
,2005,111678
,2006,130875
,2007,138057
,2008,160368
,2009,183839
,2010,191904
,2011,232806
,2012,278970
,2013,329764
,2014,385724
,2015,365497
,2016,385412
,2017,405163
Afrânio (PE),2002,26062
,2003,29761
,2004,34341
,2005,41854
,2006,47960
,2007,53865
,2008,60545
,2009,72009
,2010,82805
,2011,94983
,2012,108331
,2013,123723
,2014,133466
,2015,143591
,2016,150207
,2017,166154
Agrestina (PE),2002,46045
,2003,53172
,2004,58749
,2005,65941
,2006,70931
,2007,80198
,2008,91602
,2009,102180
,2010,115743
,2011,130074
,2012,149573
,2013,168244
,2014,195479
,2015,200478
,2016,220756
,2017,248265
Água Preta (PE),2002,63874
,2003,67081
,2004,78521
,2005,88390
,2006,97465
,2007,103309
,2008,113005
,2009,139841
,2010,141819
,2011,209774
,2012,208802
,2013,181039
,2014,205770
,2015,221673
,2016,225878
,2017,239879
Águas Belas (PE),2002,68550
,2003,72241
,2004,84009
,2005,90505
,2006,104398
,2007,114632
,2008,133666
,2009,152106
,2010,168444
,2011,195003
,2012,221537
,2013,242963
,2014,266570
,2015,285979
,2016,313206
,2017,334409
Alagoinha (PE),2002,24764
,2003,28227
,2004,32191
,2005,37472
,2006,42610
,2007,49607
,2008,58860
,2009,66530
,2010,73735
,2011,79933
,2012,86654
,2013,98855
,2014,104547
,2015,113100
,2016,118907
,2017,124672
Aliança (PE),2002,81551
,2003,90636
,2004,97513
,2005,109647
,2006,137410
,2007,138455
,2008,158768
,2009,182353
,2010,200480
,2011,204928
,2012,212489
,2013,233526
,2014,257732
,2015,267519
,2016,299930
,2017,313660
Altinho (PE),2002,38219
,2003,40244
,2004,45180
,2005,51447
,2006,55458
,2007,60048
,2008,68532
,2009,79387
,2010,88401
,2011,97856
,2012,110693
,2013,117968
,2014,134777
,2015,136070
,2016,139795
,2017,153959
Amaraji (PE),2002,59110
,2003,67238
,2004,70475
,2005,76074
,2006,83533
,2007,81925
,2008,93477
,2009,104462
,2010,124547
,2011,135805
,2012,136955
,2013,156830
,2014,163399
,2015,169480
,2016,186377
,2017,209661
Angelim (PE),2002,18295
,2003,22113
,2004,23128
,2005,27401
,2006,30395
,2007,34307
,2008,39461
,2009,42503
,2010,47342
,2011,54667
,2012,62792
,2013,70160
,2014,82436
,2015,96894
,2016,111109
,2017,113954
Araçoiaba (PE),2002,25056
,2003,28762
,2004,36556
,2005,37993
,2006,51425
,2007,48160
,2008,53728
,2009,56711
,2010,67748
,2011,74728
,2012,79702
,2013,96281
,2014,114622
,2015,114879
,2016,128979
,2017,139026
Araripina (PE),2002,173153
,2003,193855
,2004,201945
,2005,225166
,2006,255449
,2007,287724
,2008,361346
,2009,382031
,2010,462791
,2011,486868
,2012,598091
,2013,681296
,2014,778797
,2015,758157
,2016,786323
,2017,987497
Arcoverde (PE),2002,165666
,2003,180582
,2004,218833
,2005,240370
,2006,277109
,2007,316435
,2008,358969
,2009,394492
,2010,447133
,2011,535104
,2012,683212
,2013,779395
,2014,874042
,2015,803846
,2016,948980
,2017,978164
Barra de Guabiraba (PE),2002,24138
,2003,25141
,2004,28744
,2005,30344
,2006,31855
,2007,37637
,2008,43847
,2009,49191
,2010,55069
,2011,61590
,2012,66788
,2013,69626
,2014,79737
,2015,84736
,2016,93194
,2017,101795
Barreiros (PE),2002,82991
,2003,93039
,2004,110696
,2005,129524
,2006,128017
,2007,147063
,2008,161914
,2009,186590
,2010,206234
,2011,251207
,2012,297113
,2013,342398
,2014,392303
,2015,393926
,2016,410024
,2017,429725
Belém de Maria (PE),2002,21130
,2003,22695
,2004,26183
,2005,29474
,2006,32886
,2007,34512
,2008,34507
,2009,40119
,2010,48905
,2011,54720
,2012,57491
,2013,62666
,2014,63269
,2015,62839
,2016,72155
,2017,76813
Belém do São Francisco (PE),2002,44890
,2003,47396
,2004,54490
,2005,61273
,2006,61677
,2007,73167
,2008,85145
,2009,94571
,2010,99820
,2011,109857
