municipio,consorcio,anos,tendencia,nivel,pos_intervencao,PIB
Barra de Guabiraba,COMAGSUL,2002,1,0,0,24138.0
Barra de Guabiraba,COMAGSUL,2003,2,0,0,25141.0
Barra de Guabiraba,COMAGSUL,2004,3,0,0,28744.0
Barra de Guabiraba,COMAGSUL,2005,4,0,0,30344.0
Barra de Guabiraba,COMAGSUL,2006,5,0,0,31855.0
Barra de Guabiraba,COMAGSUL,2007,6,0,0,37637.0
Barra de Guabiraba,COMAGSUL,2008,7,0,0,43847.0
Barra de Guabiraba,COMAGSUL,2009,8,0,0,49191.0
Barra de Guabiraba,COMAGSUL,2010,9,0,0,55069.0
Barra de Guabiraba,COMAGSUL,2011,10,0,0,61590.0
Barra de Guabiraba,COMAGSUL,2012,11,1,1,66788.0
Barra de Guabiraba,COMAGSUL,2013,12,1,2,69626.0
Barra de Guabiraba,COMAGSUL,2014,13,1,3,79737.0
Barra de Guabiraba,COMAGSUL,2015,14,1,4,84736.0
Barra de Guabiraba,COMAGSUL,2016,15,1,5,93194.0
Barra de Guabiraba,COMAGSUL,2017,16,1,6,101795.0
Barreiros,PORTAL SUL,2002,1,0,0,82991.0
Barreiros,PORTAL SUL,2003,2,0,0,93039.0
Barreiros,PORTAL SUL,2004,3,0,0,110696.0
Barreiros,PORTAL SUL,2005,4,0,0,129524.0
Barreiros,PORTAL SUL,2006,5,0,0,128017.0
Barreiros,PORTAL SUL,2007,6,0,0,147063.0
Barreiros,PORTAL SUL,2008,7,0,0,161914.0
Barreiros,PORTAL SUL,2009,8,0,0,186590.0
Barreiros,PORTAL SUL,2010,9,1,1,206234.0
Barreiros,PORTAL SUL,2011,10,1,2,251207.0
Barreiros,PORTAL SUL,2012,11,1,3,297113.0
Barreiros,PORTAL SUL,2013,12,1,4,342398.0
Barreiros,PORTAL SUL,2014,13,1,5,392303.0
Barreiros,PORTAL SUL,2015,14,1,6,393926.0
Barreiros,PORTAL SUL,2016,15,1,7,410024.0
Barreiros,PORTAL SUL,2017,16,1,8,429725.0
Casinhas,COMANAS,2002,1,0,0,19039.0
Casinhas,COMANAS,2003,2,0,0,21382.0
Casinhas,COMANAS,2004,3,0,0,25498.0
Casinhas,COMANAS,2005,4,0,0,29847.0
Casinhas,COMANAS,2006,5,0,0,31717.0
Casinhas,COMANAS,2007,6,1,1,35299.0
Casinhas,COMANAS,2008,7,1,2,41990.0
Casinhas,COMANAS,2009,8,1,3,50146.0
Casinhas,COMANAS,2010,9,1,4,63527.0
Casinhas,COMANAS,2011,10,1,5,68951.0
Casinhas,COMANAS,2012,11,1,6,64292.0
Casinhas,COMANAS,2013,12,1,7,68748.0
Casinhas,COMANAS,2014,13,1,8,74636.0
Casinhas,COMANAS,2015,14,1,9,75585.0
Casinhas,COMANAS,2016,15,1,10,81196.0
Casinhas,COMANAS,2017,16,1,11,90224.0
Condado,COMANAS,2002,1,0,0,44784.0
Condado,COMANAS,2003,2,0,0,46827.0
Condado,COMANAS,2004,3,0,0,51094.0
Condado,COMANAS,2005,4,0,0,56996.0
Condado,COMANAS,2006,5,0,0,69512.0
Condado,COMANAS,2007,6,1,1,73418.0
Condado,COMANAS,2008,7,1,2,84214.0
Condado,COMANAS,2009,8,1,3,100033.0
Condado,COMANAS,2010,9,1,4,116037.0
Condado,COMANAS,2011,10,1,5,128694.0
Condado,COMANAS,2012,11,1,6,150451.0
Condado,COMANAS,2013,12,1,7,166327.0
Condado,COMANAS,2014,13,1,8,181699.0
Condado,COMANAS,2015,14,1,9,191826.0
Condado,COMANAS,2016,15,1,10,204465.0
Condado,COMANAS,2017,16,1,11,214324.0
Jaqueira,COMAGSUL,2002,1,0,0,44403.0
Jaqueira,COMAGSUL,2003,2,0,0,28797.0
Jaqueira,COMAGSUL,2004,3,0,0,31398.0
Jaqueira,COMAGSUL,2005,4,0,0,32925.0
Jaqueira,COMAGSUL,2006,5,0,0,40258.0
Jaqueira,COMAGSUL,2007,6,0,0,43458.0
Jaqueira,COMAGSUL,2008,7,0,0,49960.0
Jaqueira,COMAGSUL,2009,8,0,0,54190.0
Jaqueira,COMAGSUL,2010,9,0,0,56164.0
Jaqueira,COMAGSUL,2011,10,0,0,61326.0
Jaqueira,COMAGSUL,2012,11,0,0,59833.0
Jaqueira,COMAGSUL,2013,12,1,1,67533.0
Jaqueira,COMAGSUL,2014,13,1,2,77683.0
Jaqueira,COMAGSUL,2015,14,1,3,79378.0
Jaqueira,COMAGSUL,2016,15,1,4,89450.0
Jaqueira,COMAGSUL,2017,16,1,5,101866.0
Maraial,COMAGSUL,2002,1,0,0,30745.0
Maraial,COMAGSUL,2003,2,0,0,36283.0
Maraial,COMAGSUL,2004,3,0,0,41707.0
Maraial,COMAGSUL,2005,4,0,0,48709.0
Maraial,COMAGSUL,2006,5,0,0,52149.0
Maraial,COMAGSUL,2007,6,0,0,55656.0
Maraial,COMAGSUL,2008,7,0,0,51991.0
Maraial,COMAGSUL,2009,8,0,0,67187.0
Maraial,COMAGSUL,2010,9,1,1,82832.0
Maraial,COMAGSUL,2011,10,1,2,89749.0
Maraial,COMAGSUL,2012,11,1,3,60375.0
Maraial,COMAGSUL,2013,12,1,4,65216.0
Maraial,COMAGSUL,2014,13,1,5,67940.0
Maraial,COMAGSUL,2015,14,1,6,70629.0
Maraial,COMAGSUL,2016,15,1,7,78501.0
Maraial,COMAGSUL,2017,16,1,8,85691.0
São Benedito do Sul,COMAGSUL,2002,1,0,0,19654.0
São Benedito do Sul,COMAGSUL,2003,2,0,0,19488.0
São Benedito do Sul,COMAGSUL,2004,3,0,0,22777.0
São Benedito do Sul,COMAGSUL,2005,4,0,0,28346.0
São Benedito do Sul,COMAGSUL,2006,5,0,0,29894.0
São Benedito do Sul,COMAGSUL,2007,6,0,0,35048.0
São Benedito do Sul,COMAGSUL,2008,7,0,0,36577.0
São Benedito do Sul,COMAGSUL,2009,8,0,0,40683.0
São Benedito do Sul,COMAGSUL,2010,9,0,0,50215.0
