,consorcio,anos,nivel,tendencia,pos_intervencao,PIB_consorcio
0,COMUPE,2002,0,1,0,122058.0
1,COMUPE,2003,0,2,0,129887.0
2,COMUPE,2004,0,3,0,121769.0
3,COMUPE,2005,0,4,0,162685.0
4,COMUPE,2006,0,5,0,210410.0
5,COMUPE,2007,0,6,0,237371.0
6,COMUPE,2008,0,7,0,259158.0
7,COMUPE,2009,1,8,1,292776.0
8,COMUPE,2010,1,9,2,348342.0
9,COMUPE,2011,1,10,3,491223.0
10,COMUPE,2012,1,11,4,595750.0
11,COMUPE,2013,1,12,5,649597.0
12,COMUPE,2014,1,13,6,734693.0
13,COMUPE,2015,1,14,7,836829.0
14,COMUPE,2016,1,15,8,966182.0
15,COMUPE,2017,1,16,9,953039.0
16,CONDOMAR,2002,0,1,0,100583.5
17,CONDOMAR,2003,0,2,0,109231.0
18,CONDOMAR,2004,0,3,0,126454.0
19,CONDOMAR,2005,0,4,0,149374.0
20,CONDOMAR,2006,0,5,0,180366.5
21,CONDOMAR,2007,0,6,0,204063.0
22,CONDOMAR,2008,0,7,0,234091.5
23,CONDOMAR,2009,1,8,1,264334.0
24,CONDOMAR,2010,1,9,2,288807.0
25,CONDOMAR,2011,1,10,3,320528.0
26,CONDOMAR,2012,1,11,4,405490.0
27,CONDOMAR,2013,1,12,5,427246.5
28,CONDOMAR,2014,1,13,6,461333.5
29,CONDOMAR,2015,1,14,7,486850.0
30,CONDOMAR,2016,1,15,8,512496.0
31,CONDOMAR,2017,1,16,9,551528.0
32,CODEAM,2002,0,1,0,66685.27272727272
33,CODEAM,2003,0,2,0,73665.27272727272
34,CODEAM,2004,0,3,0,85249.0
35,CODEAM,2005,0,4,0,97572.81818181818
36,CODEAM,2006,0,5,0,112262.36363636363
37,CODEAM,2007,0,6,0,124070.09090909091
38,CODEAM,2008,0,7,0,140350.81818181818
39,CODEAM,2009,1,8,1,154667.36363636365
40,CODEAM,2010,1,9,2,182753.63636363635
41,CODEAM,2011,1,10,3,207920.0
42,CODEAM,2012,1,11,4,236419.45454545456
43,CODEAM,2013,1,12,5,264824.54545454547
44,CODEAM,2014,1,13,6,287150.8181818182
45,CODEAM,2015,1,14,7,311482.63636363635
46,CODEAM,2016,1,15,8,330797.9090909091
47,CODEAM,2017,1,16,9,362513.0
48,CONIAPE,2002,0,1,0,59140.0
49,CONIAPE,2003,0,2,0,60170.0
50,CONIAPE,2004,0,3,0,71302.0
51,CONIAPE,2005,0,4,0,84809.0
52,CONIAPE,2006,0,5,0,97589.0
53,CONIAPE,2007,0,6,0,106967.0
54,CONIAPE,2008,0,7,0,118381.0
55,CONIAPE,2009,1,8,1,140819.0
56,CONIAPE,2010,1,9,2,167385.0
57,CONIAPE,2011,1,10,3,195544.0
58,CONIAPE,2012,1,11,4,216122.0
59,CONIAPE,2013,1,12,5,249658.0
60,CONIAPE,2014,1,13,6,303404.0
61,CONIAPE,2015,1,14,7,317449.0
62,CONIAPE,2016,1,15,8,321975.0
63,CONIAPE,2017,1,16,9,350502.0
64,CINDESC,2002,0,1,0,43175.71428571428
65,CINDESC,2003,0,2,0,47613.57142857143
66,CINDESC,2004,0,3,0,53580.71428571428
67,CINDESC,2005,0,4,0,61414.28571428572
68,CINDESC,2006,0,5,0,69809.42857142857
69,CINDESC,2007,0,6,0,78095.57142857143
70,CINDESC,2008,0,7,0,94419.85714285714
71,CINDESC,2009,1,8,1,107971.85714285714
72,CINDESC,2010,1,9,2,180143.14285714287
73,CINDESC,2011,1,10,3,194354.42857142858
74,CINDESC,2012,1,11,4,189482.57142857142
75,CINDESC,2013,1,12,5,177283.57142857142
76,CINDESC,2014,1,13,6,203619.2857142857
77,CINDESC,2015,1,14,7,200277.57142857142
78,CINDESC,2016,1,15,8,215943.85714285713
79,CINDESC,2017,1,16,9,223128.14285714287
80,COMSIM,2002,0,1,0,34289.666666666664
81,COMSIM,2003,0,2,0,38590.166666666664
82,COMSIM,2004,0,3,0,45187.0
83,COMSIM,2005,0,4,0,47677.833333333336
84,COMSIM,2006,0,5,0,51623.0
85,COMSIM,2007,0,6,0,58739.666666666664
86,COMSIM,2008,0,7,0,67673.83333333333
87,COMSIM,2009,0,8,0,80770.66666666667
88,COMSIM,2010,0,9,0,94743.16666666667
89,COMSIM,2011,0,10,0,108082.66666666667
90,COMSIM,2012,0,11,0,124422.5
91,COMSIM,2013,1,12,1,135344.66666666666
92,COMSIM,2014,1,13,2,148726.0
93,COMSIM,2015,1,14,3,169118.16666666666
94,COMSIM,2016,1,15,4,161233.33333333334
95,COMSIM,2017,1,16,5,173325.66666666666
