intercept;intervention_coeff;intervention_pvalue;level_coeff;level_pvalue;municipio;r2_adj;tendency_coeff;tendency_pvalue
15585.933;2951.276;0.002;-140.4;0.964;Barra de Guabiraba;0.988;4212.667;0.0
66917.0;18115.524;0.0;16756.476;0.322;Barreiros;0.983;14013.833;0.0
15350.3;1434.091;0.329;3805.145;0.394;Casinhas;0.967;3382.1;0.028
35955.1;8854.5;0.0;-8170.691;0.056;Condado;0.996;5962.5;0.0
27494.036;5008.791;0.016;-1821.536;0.782;Jaqueira;0.936;3034.509;0.0
27754.036;-4543.595;0.03;11421.714;0.208;Maraial;0.768;4510.964;0.005
8774.691;2738.582;0.109;-381.291;0.948;São Benedito do Sul;0.968;4803.718;0.0
28097.786;532.75;0.723;26157.869;0.002;São Joaquim do Monte;0.976;6231.798;0.0
14596.1;1460.264;0.507;5383.709;0.426;Vertente do Lério;0.883;2158.7;0.312
18283.0;1504.56;0.464;-2514.077;0.424;Belém de Maria;0.977;2526.5;0.225
87795.667;23500.901;0.161;-38076.436;0.139;Afogados da Ingazeira;0.964;3962.5;0.804
18861.333;5966.529;0.0;-4179.771;0.07;Afrânio;0.998;5746.429;0.0
39951.333;9042.385;0.189;-25270.795;0.025;Agrestina;0.98;6352.0;0.344
53264.571;2689.929;0.448;28109.817;0.084;Água Preta;0.944;8528.321;0.011
64132.7;3647.764;0.171;-5290.273;0.502;Aliança;0.99;13072.9;0.0
34253.333;5525.181;0.063;-8166.064;0.071;Altinho;0.991;3480.5;0.219
144796.2;43757.802;0.001;-13712.038;0.719;Araripina;0.979;22310.229;0.028
28368.291;6908.555;0.008;3068.009;0.703;Belém do São Francisco;0.983;8407.845;0.0
18597.0;2881.555;0.436;2183.192;0.696;Betânia;0.941;1418.0;0.697
38027.733;4874.302;0.003;4294.219;0.403;Bodocó;0.994;9978.886;0.0
56463.4;10599.882;0.053;-15272.473;0.331;Bom Jardim;0.968;9849.6;0.059
71014.194;11895.312;0.001;7809.184;0.55;Bonito;0.985;14077.117;0.0
24092.5;1312.0;0.068;840.236;0.682;Buenos Aires;0.991;3125.9;0.0
24274.036;4497.321;0.009;5878.298;0.398;Cachoeirinha;0.984;7815.048;0.0
9364.0;1088.561;0.158;-1973.445;0.254;Calumbi;0.981;1541.1;0.051
11643.291;3931.527;0.196;10139.309;0.346;Camocim de São Félix;0.964;7532.073;0.0
56568.9;6440.764;0.43;7302.255;0.767;Camutanga;0.83;5446.9;0.485
40788.0;11188.989;0.036;-11215.231;0.146;Carnaíba;0.973;-1535.5;0.749
9465.091;59.473;0.919;309.909;0.883;Carnaubeira da Penha;0.993;4188.227;0.0
177911.2;65301.245;0.004;-90896.764;0.129;Carpina;0.981;37085.0;0.055
76865.0;15568.874;0.162;-1201.654;0.941;Catende;0.963;1174.5;0.912
10813.429;2765.883;0.0;-182.956;0.943;Cedro;0.989;3278.0;0.0
24034.2;9116.455;0.022;-16083.836;0.154;Chã de Alegria;0.925;1364.0;0.688
37531.0;-2568.274;0.386;33640.972;0.019;Cortês;0.83;4068.607;0.11
40312.0;11603.126;0.119;-24699.808;0.038;Cupira;0.982;5519.5;0.438
24507.2;10323.36;0.0;-4423.324;0.501;Dormentes;0.989;5355.943;0.004
40275.6;4450.62;0.004;-7986.438;0.117;Exu;0.994;10254.829;0.0
23708.6;9419.736;0.0;-16626.836;0.007;Feira Nova;0.991;4419.0;0.017
23988.6;1739.782;0.213;7111.709;0.104;Ferreiros;0.978;3591.0;0.015
31357.667;6550.495;0.397;-7324.205;0.533;Flores;0.938;2889.0;0.704
21783.745;-10749.073;0.231;44007.655;0.177;Floresta;0.956;24656.073;0.0
15509.1;3992.155;0.0;-3241.2;0.116;Frei Miguelinho;0.996;3063.9;0.0
41144.0;34898.2;0.017;-95064.091;0.029;Glória do Goitá;0.932;7287.8;0.555
379641.3;659403.145;0.161;-2105188.182;0.144;Goiana;0.695;26190.1;0.952
8516.2;1608.122;0.0;3893.114;0.007;Granito;0.994;1830.514;0.0
30193.714;1201.26;0.592;10493.258;0.29;Ibimirim;0.981;12805.857;0.0
11225.333;791.643;0.68;-662.526;0.821;Ibirajuba;0.968;2326.5;0.236
17942.333;1620.637;0.479;-2722.872;0.438;Iguaracy;0.975;2704.5;0.244
31946.667;11766.842;0.0;-8100.6;0.2;Ipubi;0.994;8319.0;0.0
7299.982;-594.145;0.667;8218.218;0.117;Itacuruba;0.931;2635.245;0.0
74927.8;19524.691;0.079;-48966.745;0.142;Itambé;0.941;13548.8;0.19
31081.9;2326.145;0.852;37623.218;0.333;Itaquitinga;0.545;4001.1;0.738
17004.491;1090.945;0.542;15289.309;0.031;Jatobá;0.973;5057.555;0.0
36477.5;10450.582;0.001;-9675.964;0.208;João Alfredo;0.99;7572.7;0.006
56179.071;-4637.536;0.299;26395.524;0.208;Joaquim Nabuco;0.509;4288.845;0.181
22977.393;1809.488;0.226;4160.988;0.538;Jurema;0.944;4220.024;0.001
74087.5;7196.8;0.203;-13378.527;0.428;Lagoa de Itaenga;0.95;10037.5;0.073
34430.3;13306.118;0.006;-33582.945;0.017;Lagoa do Carro;0.959;3760.3;0.344
24841.333;4283.995;0.378;-7936.987;0.289;Lagoa dos Gatos;0.949;2365.5;0.621
52873.0;20159.836;0.0;-19243.194;0.208;Lajedo;0.987;14826.964;0.0
126887.8;36562.727;0.0;-55533.2;0.01;Limoeiro;0.992;16445.4;0.014
21948.1;8426.445;0.217;-20821.8;0.313;Machados;0.854;4707.3;0.462
13200.0;6624.864;0.0;-6435.417;0.065;Mirandiba;0.995;5402.786;0.0
16791.667;2261.945;0.013;659.352;0.825;Moreilândia;0.981;2765.286;0.002
104511.7;27799.091;0.0;-55430.618;0.001;Nazaré da Mata;0.992;9441.1;0.026
45134.0;16713.018;0.01;-47823.927;0.014;Orobó;0.967;8325.0;0.136
26545.327;202.809;0.878;10834.373;0.039;Panelas;0.993;8565.491;0.0
27757.267;3887.827;0.086;6372.543;0.433;Parnamirim;0.973;6520.543;0.005
33484.8;5883.845;0.002;-8098.945;0.094;Passira;0.994;8155.8;0.0
103145.7;39985.555;0.001;-73622.382;0.025;Paudalho;0.981;15067.9;0.12
359414.4;106623.173;0.005;-638612.7;0.0;Petrolândia;0.809;52173.827;0.0
36132.0;3125.462;0.268;45450.5;0.002;Quipapá;0.954;4853.321;0.05
13651.782;-2853.245;0.229;23696.118;0.013;Riacho das Almas;0.98;8939.445;0.0
79428.714;7121.176;0.044;31130.675;0.043;Ribeirão;0.984;15128.357;0.0
85316.309;2933.955;0.622;3566.791;0.867;Rio Formoso;0.907;10533.645;0.0
9515.6;2366.991;0.004;-917.2;0.666;Salgadinho;0.986;1702.2;0.022
104970.571;-10061.667;0.71;342862.206;0.011;Salgueiro;0.844;28727.5;0.212
14811.333;3289.102;0.0;5699.819;0.051;Santa Cruz;0.992;3112.286;0.0
13234.5;3121.912;0.016;-4734.027;0.087;Santa Cruz da Baixa Verde;0.988;2200.7;0.067
118947.7;60474.491;0.005;-24076.345;0.667;Santa Cruz do Capibaribe;0.985;44654.7;0.023
15340.333;2596.786;0.001;850.171;0.692;Santa Filomena;0.992;2877.571;0.0
14399.0;3664.509;0.001;-2371.836;0.357;Santa Maria do Cambucá;0.992;3062.6;0.002
22423.5;5249.809;0.001;-5113.309;0.105;Santa Terezinha;0.981;-129.9;0.919
42964.857;16597.852;0.0;-2070.024;0.833;São Caitano;0.991;10628.714;0.0
30149.194;8227.221;0.0;1891.727;0.798;São João;0.984;7225.85;0.0
